PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_15519	12	7172358	7172602	+	22	NA	intron (ENSGALG00000005237, intron 1 of 18)	protein_coding-intron (ENSGALG00000005237, intron 1 of 18)	-11613	ENSGALG00000005237	ENSGALG00000005237	ENSGALT00000059485			FGD3			protein_coding
ATAC_R1.mLb.clN_peak_30954	20	5232617	5232954	+	22	NA	intron (ENSGALG00000004123, intron 13 of 14)	protein_coding-intron (ENSGALG00000004123, intron 11 of 11)	8188	ENSGALG00000004123	ENSGALG00000004123	ENSGALT00000006565			PABPC1L			protein_coding
ATAC_R1.mLb.clN_peak_55443	7	3438929	3439151	+	22	NA	intron (ENSGALG00000003126, intron 1 of 26)	protein_coding-intron (ENSGALG00000003126, intron 1 of 26)	-108784	ENSGALG00000003126	ENSGALG00000003126	ENSGALT00000088706			ERBB4			protein_coding
ATAC_R1.mLb.clN_peak_33758	3	12971068	12971183	+	22	NA	intron (ENSGALG00000009037, intron 2 of 12)	protein_coding-intron (ENSGALG00000009037, intron 2 of 12)	13013	ENSGALG00000009037	ENSGALG00000009037	ENSGALT00000014709			SPTLC3			protein_coding
ATAC_R1.mLb.clN_peak_57829	7	35051479	35051642	+	22	NA	Intergenic	Intergenic	-28717	ENSGALG00000026313	ENSGALG00000026313	ENSGALT00000045484			RND3			protein_coding
ATAC_R1.mLb.clN_peak_745	1	12349744	12349926	+	22	NA	intron (ENSGALG00000038834, intron 6 of 22)	protein_coding-intron (ENSGALG00000038834, intron 4 of 21)	292850	ENSGALG00000008335	ENSGALG00000008335	ENSGALT00000098786			PHTF2			protein_coding
ATAC_R1.mLb.clN_peak_4177	1	59435642	59435774	+	22	NA	intron (ENSGALG00000012944, intron 1 of 22)	protein_coding-intron (ENSGALG00000012944, intron 1 of 20)	13013	ENSGALG00000012944	ENSGALG00000012944	ENSGALT00000083970			DENND5B			protein_coding
ATAC_R1.mLb.clN_peak_57841	7	35320008	35320123	+	22	NA	intron (ENSGALG00000051669, intron 2 of 4)	protein_coding-intron (ENSGALG00000051669, intron 2 of 4)	5679	ENSGALG00000051669	ENSGALG00000051669	ENSGALT00000090655			ARL5A			protein_coding
ATAC_R1.mLb.clN_peak_20018	18	3901919	3902058	+	22	NA	Intergenic	Intergenic	-118035	ENSGALG00000001725	ENSGALG00000001725	ENSGALT00000101059			TNRC6C			protein_coding
ATAC_R1.mLb.clN_peak_33352	3	4169786	4169901	+	22	NA	intron (ENSGALG00000008457, intron 6 of 6)	protein_coding-intron (ENSGALG00000008457, intron 6 of 6)	15046	ENSGALG00000008457	ENSGALG00000008457	ENSGALT00000013781			RIN2			protein_coding
ATAC_R1.mLb.clN_peak_59993	8	27328482	27328605	+	22	NA	Intergenic	Intergenic	-68586	ENSGALG00000010924	ENSGALG00000010924	ENSGALT00000089276			NFIA			protein_coding
ATAC_R1.mLb.clN_peak_19907	18	1305863	1305976	+	22	NA	Intergenic	Intergenic	-34463	ENSGALG00000034516	ENSGALG00000034516	ENSGALT00000060440			SHISA6			protein_coding
ATAC_R1.mLb.clN_peak_51947	5	48570677	48570870	+	22	NA	Intergenic	Intergenic	-32667	ENSGALG00000011209	ENSGALG00000011209	ENSGALT00000018280			EVL			protein_coding
ATAC_R1.mLb.clN_peak_65364	Z	55253875	55253986	+	22	NA	Intergenic	Intergenic	65857	ENSGALG00000027472	ENSGALG00000027472	ENSGALT00000074953			TMEM38B			protein_coding
ATAC_R1.mLb.clN_peak_33754	3	12920595	12920705	+	22	NA	intron (ENSGALG00000009037, intron 7 of 12)	protein_coding-intron (ENSGALG00000009037, intron 7 of 12)	-56464	ENSGALG00000009042	ENSGALG00000009042	ENSGALT00000014720			ISM1			protein_coding
ATAC_R1.mLb.clN_peak_25049	2	65261974	65262185	+	22	NA	intron (ENSGALG00000042481, intron 5 of 6)	protein_coding-intron (ENSGALG00000042481, intron 5 of 6)	146009	ENSGALG00000043041	ENSGALG00000043041	ENSGALT00000067025			NRN1			protein_coding
ATAC_R1.mLb.clN_peak_3892	1	54949334	54949457	+	22	NA	Intergenic	Intergenic	19953	ENSGALG00000051926	ENSGALG00000051926	ENSGALT00000093598						protein_coding
ATAC_R1.mLb.clN_peak_13356	10	18362414	18362580	+	22	NA	Intergenic	Intergenic	-5899	ENSGALG00000007371	ENSGALG00000007371	ENSGALT00000038397			IGDCC3			protein_coding
ATAC_R1.mLb.clN_peak_24779	2	58764331	58764484	+	22	NA	Intergenic	Intergenic	127394	ENSGALG00000036497	ENSGALG00000036497	ENSGALT00000079692			SOX4			protein_coding
ATAC_R1.mLb.clN_peak_20047	18	4478802	4478956	+	22	NA	intron (ENSGALG00000002008, intron 1 of 17)	protein_coding-intron (ENSGALG00000002008, intron 1 of 18)	1335	ENSGALG00000002008	ENSGALG00000002008	ENSGALT00000074221			RNF157			protein_coding
ATAC_R1.mLb.clN_peak_64659	Z	41327746	41327860	+	22	NA	intron (ENSGALG00000012608, intron 1 of 24)	protein_coding-intron (ENSGALG00000012608, intron 1 of 23)	9696	ENSGALG00000012608	ENSGALG00000012608	ENSGALT00000103936			DAPK1			protein_coding
ATAC_R1.mLb.clN_peak_22021	2	17816076	17816264	+	22	NA	Intergenic	Intergenic	-28430	ENSGALG00000007914	ENSGALG00000007914	ENSGALT00000103797			DNAJC1			protein_coding
ATAC_R1.mLb.clN_peak_49038	5	13775363	13775474	+	22	NA	intron (ENSGALG00000006521, intron 4 of 23)	protein_coding-intron (ENSGALG00000006521, intron 4 of 23)	2766	ENSGALG00000006521	ENSGALG00000006521	ENSGALT00000010536			TRPM5			protein_coding
ATAC_R1.mLb.clN_peak_43332	4	29479890	29480080	+	22	NA	intron (ENSGALG00000009809, intron 1 of 2)	protein_coding-intron (ENSGALG00000009809, intron 1 of 2)	92124	ENSGALG00000009809	ENSGALG00000009809	ENSGALT00000071103						protein_coding
ATAC_R1.mLb.clN_peak_34963	3	30222573	30222697	+	22	NA	Intergenic	Intergenic	-47321	ENSGALG00000010151	ENSGALG00000010151	ENSGALT00000016501			CCDC167			protein_coding
ATAC_R1.mLb.clN_peak_57118	7	26278988	26279117	+	22	NA	intron (ENSGALG00000026460, intron 1 of 8)	protein_coding-intron (ENSGALG00000026460, intron 1 of 6)	-6767	ENSGALG00000026460	ENSGALG00000026460	ENSGALT00000045992						protein_coding
ATAC_R1.mLb.clN_peak_36652	3	51265295	51265707	+	22	NA	Intergenic	Intergenic	-199642	ENSGALG00000013683	ENSGALG00000013683	ENSGALT00000105583			ARID1B			protein_coding
ATAC_R1.mLb.clN_peak_19188	15	8059870	8060035	+	22	NA	intron (ENSGALG00000005803, intron 2 of 6)	protein_coding-intron (ENSGALG00000005803, intron 2 of 8)	47078	ENSGALG00000005803	ENSGALG00000005803	ENSGALT00000096030			ZNRF3			protein_coding
ATAC_R1.mLb.clN_peak_43893	4	36942440	36942787	+	22	NA	intron (ENSGALG00000010397, intron 10 of 13)	protein_coding-intron (ENSGALG00000010397, intron 10 of 13)	-184077	ENSGALG00000037339	ENSGALG00000037339	ENSGALT00000058367			SMARCAD1			protein_coding
ATAC_R1.mLb.clN_peak_6817	1	107386362	107386474	+	22	NA	intron (ENSGALG00000016022, intron 4 of 5)	protein_coding-intron (ENSGALG00000016022, intron 4 of 5)	62667	ENSGALG00000016020	ENSGALG00000016020	ENSGALT00000059588			CLIC6			protein_coding
ATAC_R1.mLb.clN_peak_22638	2	24345602	24345749	+	22	NA	Intergenic	Intergenic	-17698	ENSGALG00000009733	ENSGALG00000009733	ENSGALT00000015842			SEM1			protein_coding
ATAC_R1.mLb.clN_peak_34259	3	21226683	21226813	+	22	NA	intron (ENSGALG00000009784, intron 3 of 18)	protein_coding-intron (ENSGALG00000009784, intron 3 of 18)	67529	ENSGALG00000009784	ENSGALG00000009784	ENSGALT00000015916			PTPN14			protein_coding
ATAC_R1.mLb.clN_peak_64000	Z	28339333	28339723	+	22	NA	intron (ENSGALG00000020557, intron 16 of 20)	protein_coding-intron (ENSGALG00000020557, intron 16 of 20)	245639	ENSGALG00000020557	ENSGALG00000020557	ENSGALT00000032836			KDM4C			protein_coding
ATAC_R1.mLb.clN_peak_5752	1	88868095	88868211	+	22	NA	Intergenic	Intergenic	-1809	ENSGALG00000028448	ENSGALG00000028448	ENSGALT00000042656			SH2D1B			protein_coding
ATAC_R1.mLb.clN_peak_31741	21	5515275	5515396	+	22	NA	TTS (ENSGALG00000004531)	protein_coding-TTS (ENSGALG00000004531)	2069	ENSGALG00000004523	ENSGALG00000004523	ENSGALT00000007199			MFN2			protein_coding
ATAC_R1.mLb.clN_peak_49172	5	15829158	15829295	+	22	NA	intron (ENSGALG00000006837, intron 1 of 10)	protein_coding-intron (ENSGALG00000006837, intron 1 of 10)	41708	ENSGALG00000006837	ENSGALG00000006837	ENSGALT00000011062			TSPAN4			protein_coding
ATAC_R1.mLb.clN_peak_48922	5	11923827	11924079	+	22	NA	Intergenic	Intergenic	32315	ENSGALG00000006096	ENSGALG00000006096	ENSGALT00000009835			RPS13			protein_coding
ATAC_R1.mLb.clN_peak_13307	10	17862488	17862775	+	22	NA	Intergenic	Intergenic	-16162	ENSGALG00000033365	ENSGALG00000033365	ENSGALT00000099696			ALDH1A3			protein_coding
ATAC_R1.mLb.clN_peak_20281	18	8254090	8254294	+	22	NA	Intergenic	Intergenic	69380	ENSGALG00000004376	ENSGALG00000004376	ENSGALT00000006978			KCNJ2			protein_coding
ATAC_R1.mLb.clN_peak_38322	3	72872004	72872226	+	22	NA	Intergenic	Intergenic	-40400	ENSGALG00000015580	ENSGALG00000015580	ENSGALT00000107629			UFL1			protein_coding
ATAC_R1.mLb.clN_peak_7232	1	113967150	113967424	+	22	NA	Intergenic	Intergenic	80261	ENSGALG00000041078	ENSGALG00000041078	ENSGALT00000049715			MID1IP1			protein_coding
ATAC_R1.mLb.clN_peak_42236	4	12696882	12697164	+	22	NA	Intergenic	Intergenic	-93657	ENSGALG00000007806	ENSGALG00000007806	ENSGALT00000012662			FGF16			protein_coding
ATAC_R1.mLb.clN_peak_55049	6	33386726	33386942	+	22	NA	Intergenic	Intergenic	-61695	ENSGALG00000013685	ENSGALG00000013685	ENSGALT00000076504			EDRF1			protein_coding
ATAC_R1.mLb.clN_peak_62534	Z	2069832	2069995	+	22	NA	intron (ENSGALG00000031018, intron 1 of 7)	protein_coding-intron (ENSGALG00000031018, intron 1 of 7)	12934	ENSGALG00000031018	ENSGALG00000031018	ENSGALT00000047684			RNF165			protein_coding
ATAC_R1.mLb.clN_peak_33325	3	3336819	3337041	+	22	NA	Intergenic	Intergenic	6077	ENSGALG00000008362	ENSGALG00000008362	ENSGALT00000013617			SSTR4			protein_coding
ATAC_R1.mLb.clN_peak_24613	2	55856565	55856765	+	22	NA	intron (ENSGALG00000034119, intron 5 of 35)	protein_coding-intron (ENSGALG00000034119, intron 5 of 35)	36316	ENSGALG00000034119	ENSGALG00000034119	ENSGALT00000068652						protein_coding
ATAC_R1.mLb.clN_peak_41669	4	5294801	5294968	+	22	NA	Intergenic	Intergenic	86476	ENSGALG00000006822	ENSGALG00000006822	ENSGALT00000095684			Pcdh19			protein_coding
ATAC_R1.mLb.clN_peak_18738	15	728413	728710	+	22	NA	Intergenic	Intergenic	-18178	ENSGALG00000030051	ENSGALG00000030051	ENSGALT00000057590			TOP3B			protein_coding
ATAC_R1.mLb.clN_peak_49435	5	19508456	19508825	+	22	NA	intron (ENSGALG00000038913, intron 1 of 5)	protein_coding-intron (ENSGALG00000038913, intron 1 of 5)	-35826	ENSGALG00000038913	ENSGALG00000038913	ENSGALT00000098828			LDLRAD3			protein_coding
ATAC_R1.mLb.clN_peak_20027	18	4116347	4116515	+	22	NA	intron (ENSGALG00000001684, intron 1 of 15)	protein_coding-intron (ENSGALG00000001684, intron 1 of 15)	-32015	ENSGALG00000001684	ENSGALG00000001684	ENSGALT00000082373			SEC14L1			protein_coding
ATAC_R1.mLb.clN_peak_50704	5	35890418	35890686	+	22	NA	TTS (ENSGALG00000029022)	protein_coding-TTS (ENSGALG00000029022)	51237	ENSGALG00000010001	ENSGALG00000010001	ENSGALT00000016249			EGLN3			protein_coding
ATAC_R1.mLb.clN_peak_36063	3	44365874	44366034	+	22	NA	Intergenic	Intergenic	-18402	ENSGALG00000011555	ENSGALG00000011555	ENSGALT00000070011			QKI			protein_coding
ATAC_R1.mLb.clN_peak_20216	18	6841870	6842026	+	22	NA	intron (ENSGALG00000046125, intron 14 of 14)	protein_coding-intron (ENSGALG00000046125, intron 14 of 14)	25573	ENSGALG00000046125	ENSGALG00000046125	ENSGALT00000083717			PECAM1			protein_coding
ATAC_R1.mLb.clN_peak_45554	4	58226888	58227015	+	22	NA	intron (ENSGALG00000012211, intron 2 of 8)	protein_coding-intron (ENSGALG00000012211, intron 2 of 12)	29535	ENSGALG00000012211	ENSGALG00000012211	ENSGALT00000094109			PDLIM5			protein_coding
ATAC_R1.mLb.clN_peak_13379	10	18724976	18725187	+	22	NA	intron (ENSGALG00000007631, intron 4 of 21)	protein_coding-intron (ENSGALG00000007631, intron 4 of 21)	72352	ENSGALG00000007631	ENSGALG00000007631	ENSGALT00000012349			MEGF11			protein_coding
ATAC_R1.mLb.clN_peak_38513	3	76161435	76161699	+	22	NA	Intergenic	Intergenic	-12028	ENSGALG00000049848	ENSGALG00000049848	ENSGALT00000104632			CNR1			protein_coding
ATAC_R1.mLb.clN_peak_41367	4	466558	466718	+	22	NA	intron (ENSGALG00000030879, intron 1 of 7)	protein_coding-intron (ENSGALG00000030879, intron 1 of 7)	15177	ENSGALG00000030879	ENSGALG00000030879	ENSGALT00000073367			AR			protein_coding
ATAC_R1.mLb.clN_peak_41611	4	4909002	4909251	+	22	NA	intron (ENSGALG00000006508, intron 2 of 6)	protein_coding-intron (ENSGALG00000006508, intron 2 of 6)	53121	ENSGALG00000006508	ENSGALG00000006508	ENSGALT00000054177			FGF13			protein_coding
ATAC_R1.mLb.clN_peak_19107	15	5948071	5948234	+	22	NA	intron (ENSGALG00000004324, intron 6 of 17)	protein_coding-intron (ENSGALG00000004324, intron 6 of 17)	9628	ENSGALG00000004324	ENSGALG00000004324	ENSGALT00000039216			SETD1B			protein_coding
ATAC_R1.mLb.clN_peak_32207	23	4523058	4523225	+	22	NA	intron (ENSGALG00000002499, intron 2 of 28)	protein_coding-intron (ENSGALG00000002499, intron 2 of 29)	5981	ENSGALG00000002499	ENSGALG00000002499	ENSGALT00000071165						protein_coding
ATAC_R1.mLb.clN_peak_60515	9	6550971	6551151	+	22	NA	Intergenic	Intergenic	88081	ENSGALG00000037387	ENSGALG00000037387	ENSGALT00000063011			CLSTN2			protein_coding
ATAC_R1.mLb.clN_peak_33947	3	16930084	16930265	+	22	NA	intron (ENSGALG00000049137, intron 1 of 3)	protein_coding-intron (ENSGALG00000049137, intron 1 of 4)	226	ENSGALG00000049137	ENSGALG00000049137	ENSGALT00000093322			SHLD1			protein_coding
ATAC_R1.mLb.clN_peak_31441	20	12438516	12438756	+	22	NA	Intergenic	Intergenic	54480	ENSGALG00000007796	ENSGALG00000007796	ENSGALT00000093460			BCAS1			protein_coding
ATAC_R1.mLb.clN_peak_3736	1	51851745	51851869	+	22	NA	Intergenic	Intergenic	-65970	ENSGALG00000012540	ENSGALG00000012540	ENSGALT00000020480			RBFOX2			protein_coding
ATAC_R1.mLb.clN_peak_28424	2	115264483	115264672	+	22	NA	TTS (ENSGALG00000043570)	protein_coding-TTS (ENSGALG00000043570)	-2521	ENSGALG00000031863	ENSGALG00000031863	ENSGALT00000056272						protein_coding
ATAC_R1.mLb.clN_peak_12023	1	195651914	195652311	+	22	NA	Intergenic	Intergenic	-2386	ENSGALG00000053132	ENSGALG00000053132	ENSGALT00000092691						protein_coding
ATAC_R1.mLb.clN_peak_9728	1	155041799	155041936	+	22	NA	Intergenic	Intergenic	72654	ENSGALG00000054730	ENSGALG00000054730	ENSGALT00000091832						protein_coding
ATAC_R1.mLb.clN_peak_24612	2	55847272	55847443	+	22	NA	intron (ENSGALG00000034119, intron 2 of 35)	protein_coding-intron (ENSGALG00000034119, intron 2 of 35)	27008	ENSGALG00000034119	ENSGALG00000034119	ENSGALT00000068652						protein_coding
ATAC_R1.mLb.clN_peak_52272	5	53709132	53709434	+	22	NA	intron (ENSGALG00000011858, intron 4 of 10)	protein_coding-intron (ENSGALG00000011858, intron 4 of 10)	26930	ENSGALG00000011858	ENSGALG00000011858	ENSGALT00000019345			KCNH5			protein_coding
ATAC_R1.mLb.clN_peak_31969	22	4608214	4608371	+	22	NA	intron (ENSGALG00000000476, intron 7 of 8)	protein_coding-intron (ENSGALG00000000476, intron 7 of 8)	12445	ENSGALG00000000476	ENSGALG00000000476	ENSGALT00000000646			LRRTM4			protein_coding
ATAC_R1.mLb.clN_peak_52856	6	5246161	5246298	+	22	NA	Intergenic	Intergenic	-21849	ENSGALG00000002507	ENSGALG00000002507	ENSGALT00000041145			MBL2			protein_coding
ATAC_R1.mLb.clN_peak_22203	2	19757420	19757567	+	22	NA	intron (ENSGALG00000008671, intron 5 of 8)	protein_coding-intron (ENSGALG00000008671, intron 4 of 6)	24280	ENSGALG00000008671	ENSGALG00000008671	ENSGALT00000014117			ST8SIA6			protein_coding
ATAC_R1.mLb.clN_peak_35196	3	33274481	33274680	+	22	NA	Intergenic	Intergenic	341263	ENSGALG00000046375	ENSGALG00000046375	ENSGALT00000087732			SULT6B1			protein_coding
ATAC_R1.mLb.clN_peak_2737	1	38048697	38048823	+	22	NA	intron (ENSGALG00000010238, intron 1 of 14)	protein_coding-intron (ENSGALG00000010238, intron 1 of 14)	6649	ENSGALG00000010238	ENSGALG00000010238	ENSGALT00000048966			NAP1L1			protein_coding
ATAC_R1.mLb.clN_peak_21833	2	15323408	15323635	+	22	NA	Intergenic	Intergenic	-5196	ENSGALG00000040993	ENSGALG00000040993	ENSGALT00000056719			BAMBI			protein_coding
ATAC_R1.mLb.clN_peak_53285	6	12020563	12020713	+	22	NA	intron (ENSGALG00000004355, intron 1 of 7)	protein_coding-intron (ENSGALG00000004355, intron 1 of 7)	25652	ENSGALG00000004355	ENSGALG00000004355	ENSGALT00000062129			MCU			protein_coding
ATAC_R1.mLb.clN_peak_7082	1	111166560	111166675	+	22	NA	Intergenic	Intergenic	56370	ENSGALG00000041988	ENSGALG00000041988	ENSGALT00000052958			SIK1			protein_coding
ATAC_R1.mLb.clN_peak_909	1	13961479	13961593	+	22	NA	intron (ENSGALG00000008154, intron 14 of 14)	protein_coding-intron (ENSGALG00000008154, intron 3 of 3)	44916	ENSGALG00000008154	ENSGALG00000008154	ENSGALT00000013245			SRPK2			protein_coding
ATAC_R1.mLb.clN_peak_31439	20	12434568	12434846	+	22	NA	Intergenic	Intergenic	50551	ENSGALG00000007796	ENSGALG00000007796	ENSGALT00000093460			BCAS1			protein_coding
ATAC_R1.mLb.clN_peak_64651	Z	41274468	41274652	+	22	NA	Intergenic	Intergenic	-43547	ENSGALG00000012608	ENSGALG00000012608	ENSGALT00000103936			DAPK1			protein_coding
ATAC_R1.mLb.clN_peak_33163	3	494232	494372	+	22	NA	Intergenic	Intergenic	79685	ENSGALG00000043080	ENSGALG00000043080	ENSGALT00000052757			CCDC85A			protein_coding
ATAC_R1.mLb.clN_peak_10881	1	178419297	178419608	+	21	NA	intron (ENSGALG00000017111, intron 1 of 14)	protein_coding-intron (ENSGALG00000017111, intron 1 of 15)	554	ENSGALG00000017111	ENSGALG00000017111	ENSGALT00000067696			NUP58			protein_coding
ATAC_R1.mLb.clN_peak_27062	2	97370065	97370208	+	21	NA	intron (ENSGALG00000013785, intron 6 of 12)	protein_coding-intron (ENSGALG00000013785, intron 6 of 12)	61516	ENSGALG00000013794	ENSGALG00000013794	ENSGALT00000048502			MPPE1			protein_coding
ATAC_R1.mLb.clN_peak_54290	6	24059890	24060132	+	21	NA	Intergenic	Intergenic	-11834	ENSGALG00000026957	ENSGALG00000026957	ENSGALT00000094391			SEMA4G			protein_coding
ATAC_R1.mLb.clN_peak_48806	5	10611060	10611180	+	21	NA	intron (ENSGALG00000005998, intron 1 of 5)	protein_coding-intron (ENSGALG00000005998, intron 1 of 5)	8835	ENSGALG00000005998	ENSGALG00000005998	ENSGALT00000106535			RRAS2			protein_coding
ATAC_R1.mLb.clN_peak_59092	8	15619000	15619179	+	21	NA	intron (ENSGALG00000006237, intron 1 of 21)	protein_coding-intron (ENSGALG00000006237, intron 1 of 21)	1401	ENSGALG00000006237	ENSGALG00000006237	ENSGALT00000010087			PKN2			protein_coding
ATAC_R1.mLb.clN_peak_31889	22	2680261	2680385	+	21	NA	Intergenic	Intergenic	-13859	ENSGALG00000042739	ENSGALG00000042739	ENSGALT00000075808			TACC1			protein_coding
ATAC_R1.mLb.clN_peak_27395	2	101882167	101882299	+	21	NA	intron (ENSGALG00000014860, intron 1 of 11)	protein_coding-intron (ENSGALG00000014860, intron 1 of 11)	-33201	ENSGALG00000014860	ENSGALG00000014860	ENSGALT00000064616			YES1			protein_coding
ATAC_R1.mLb.clN_peak_46928	4	76036432	76036549	+	21	NA	intron (ENSGALG00000014485, intron 1 of 8)	protein_coding-intron (ENSGALG00000014485, intron 1 of 8)	44433	ENSGALG00000030070	ENSGALG00000030070	ENSGALT00000076421			QDPR			protein_coding
ATAC_R1.mLb.clN_peak_15713	12	9264363	9264537	+	21	NA	intron (ENSGALG00000005678, intron 1 of 45)	protein_coding-intron (ENSGALG00000005678, intron 1 of 44)	2815	ENSGALG00000005678	ENSGALG00000005678	ENSGALT00000036256			FLNB			protein_coding
ATAC_R1.mLb.clN_peak_53751	6	17584122	17584249	+	21	NA	intron (ENSGALG00000005547, intron 2 of 16)	protein_coding-intron (ENSGALG00000005547, intron 2 of 16)	15929	ENSGALG00000005547	ENSGALG00000005547	ENSGALT00000008896			PIK3AP1			protein_coding
ATAC_R1.mLb.clN_peak_19930	18	1826486	1826970	+	21	NA	Intergenic	Intergenic	-9841	ENSGALG00000001183	ENSGALG00000001183	ENSGALT00000107819			MYH10			protein_coding
ATAC_R1.mLb.clN_peak_61937	9	22217798	22217929	+	21	NA	intron (ENSGALG00000052162, intron 1 of 3)	protein_coding-intron (ENSGALG00000052162, intron 1 of 3)	39304	ENSGALG00000054759	ENSGALG00000054759	ENSGALT00000098207			B3GALNT1			protein_coding
ATAC_R1.mLb.clN_peak_17982	14	4556921	4557122	+	21	NA	intron (ENSGALG00000004611, intron 4 of 4)	protein_coding-intron (ENSGALG00000004611, intron 4 of 4)	12086	ENSGALG00000004611	ENSGALG00000004611	ENSGALT00000007337			FBXL18			protein_coding
ATAC_R1.mLb.clN_peak_18597	14	12882680	12882808	+	21	NA	intron (ENSGALG00000039951, intron 4 of 17)	protein_coding-intron (ENSGALG00000039951, intron 4 of 17)	6483	ENSGALG00000039951	ENSGALG00000039951	ENSGALT00000050396			TRAP1			protein_coding
ATAC_R1.mLb.clN_peak_32111	23	2085885	2086095	+	21	NA	Intergenic	Intergenic	-2225	ENSGALG00000014012	ENSGALG00000014012	ENSGALT00000022698			WASF2			protein_coding
ATAC_R1.mLb.clN_peak_10836	1	177498339	177498458	+	21	NA	intron (ENSGALG00000039958, intron 1 of 2)	protein_coding-intron (ENSGALG00000039958, intron 1 of 2)	773	ENSGALG00000039958	ENSGALG00000039958	ENSGALT00000064679						protein_coding
ATAC_R1.mLb.clN_peak_7305	1	115047332	115047623	+	21	NA	Intergenic	Intergenic	-241474	ENSGALG00000027198	ENSGALG00000027198	ENSGALT00000045548			TMEM47			protein_coding
ATAC_R1.mLb.clN_peak_31307	20	10025296	10025434	+	21	NA	intron (ENSGALG00000006211, intron 3 of 3)	protein_coding-intron (ENSGALG00000006211, intron 2 of 2)	7230	ENSGALG00000006211	ENSGALG00000006211	ENSGALT00000105769			BCL2L1			protein_coding
ATAC_R1.mLb.clN_peak_13153	10	14609118	14609254	+	21	NA	Intergenic	Intergenic	-41378	ENSGALG00000030250	ENSGALG00000030250	ENSGALT00000066973			SV2B			protein_coding
ATAC_R1.mLb.clN_peak_36177	3	45931143	45931297	+	21	NA	Intergenic	Intergenic	-2006	ENSGALG00000011663	ENSGALG00000011663	ENSGALT00000019065			FNDC1			protein_coding
ATAC_R1.mLb.clN_peak_32827	27	3925108	3925380	+	21	NA	intron (ENSGALG00000041556, intron 3 of 7)	protein_coding-intron (ENSGALG00000041556, intron 3 of 9)	8954	ENSGALG00000041556	ENSGALG00000041556	ENSGALT00000106590			GPATCH8			protein_coding
ATAC_R1.mLb.clN_peak_32565	26	55825	55973	+	21	NA	intron (ENSGALG00000043513, intron 1 of 11)	protein_coding-intron (ENSGALG00000043513, intron 2 of 12)	1121	ENSGALG00000043513	ENSGALG00000043513	ENSGALT00000072611			TEAD3			protein_coding
ATAC_R1.mLb.clN_peak_62011	9	23021261	23021432	+	21	NA	intron (ENSGALG00000010256, intron 2 of 6)	protein_coding-intron (ENSGALG00000010256, intron 2 of 6)	12524	ENSGALG00000010256	ENSGALG00000010256	ENSGALT00000016682			TIPARP			protein_coding
ATAC_R1.mLb.clN_peak_42170	4	11606445	11606581	+	21	NA	Intergenic	Intergenic	-19403	ENSGALG00000007590	ENSGALG00000007590	ENSGALT00000012271			MTMR8			protein_coding
ATAC_R1.mLb.clN_peak_52244	5	53106467	53106589	+	21	NA	Intergenic	Intergenic	-1931	ENSGALG00000011721	ENSGALG00000011721	ENSGALT00000019151						protein_coding
ATAC_R1.mLb.clN_peak_7254	1	114303565	114303694	+	21	NA	intron (ENSGALG00000043100, intron 1 of 8)	protein_coding-intron (ENSGALG00000043100, intron 1 of 9)	662	ENSGALG00000043100	ENSGALG00000043100	ENSGALT00000096293			SRPX			protein_coding
ATAC_R1.mLb.clN_peak_32704	26	4683535	4683643	+	21	NA	intron (ENSGALG00000031493, intron 2 of 6)	protein_coding-intron (ENSGALG00000031493, intron 2 of 6)	6133	ENSGALG00000031493	ENSGALG00000031493	ENSGALT00000053689			BAK1			protein_coding
ATAC_R1.mLb.clN_peak_56854	7	22633295	22633434	+	21	NA	intron (ENSGALG00000041013, intron 16 of 29)	protein_coding-intron (ENSGALG00000041013, intron 16 of 30)	26071	ENSGALG00000041013	ENSGALG00000041013	ENSGALT00000090241			TNS1			protein_coding
ATAC_R1.mLb.clN_peak_12915	10	10849007	10849209	+	21	NA	Intergenic	Intergenic	-2278	ENSGALG00000048077	ENSGALG00000048077	ENSGALT00000091324						protein_coding
ATAC_R1.mLb.clN_peak_31306	20	10025039	10025180	+	21	NA	intron (ENSGALG00000006211, intron 3 of 3)	protein_coding-intron (ENSGALG00000006211, intron 2 of 2)	7486	ENSGALG00000006211	ENSGALG00000006211	ENSGALT00000105769			BCL2L1			protein_coding
ATAC_R1.mLb.clN_peak_60732	9	8554669	8554855	+	21	NA	Intergenic	Intergenic	-3089	ENSGALG00000005118	ENSGALG00000005118	ENSGALT00000040805			FAM124B			protein_coding
ATAC_R1.mLb.clN_peak_35752	3	40260957	40261069	+	21	NA	Intergenic	Intergenic	-61785	ENSGALG00000011106	ENSGALG00000011106	ENSGALT00000102511			GALNT2			protein_coding
ATAC_R1.mLb.clN_peak_32399	24	4368713	4368884	+	21	NA	Intergenic	Intergenic	4317	ENSGALG00000006812	ENSGALG00000006812	ENSGALT00000011015			TTC36			protein_coding
